Filename,Sequence ID
Chs5_Scerevisiae_NP_013434.1_query.faa,NP_013434.1
Bud7_Scerevisiae_NP_014943.1_query.faa,NP_014943.1
Bch1_Scerevisiae_NP_013964.1_query.faa,NP_013964.1
Bch2_Scerevisiae_NP_012952.3_query.faa,NP_012952.3
Chs6_Scerevisiae_NP_012436.1_query.faa,NP_012436.1
AP1beta_Scerevisiae_NP_012787.1_query.faa,NP_012787.1
AP1gamma_Scerevisiae_NP_015354.1_query.faa,NP_015354.1
AP1mu_Scerevisiae_NP_015064.1_query.faa,NP_015064.1
AP1sigma_Scerevisiae_NP_013271.1_query.faa,NP_013271.1
AP2beta_Scerevisiae_NP_012538.3_query.faa,NP_012538.3
AP2alpha_Scerevisiae_NP_009516.1_query.faa,NP_009516.1
AP2mu_Scerevisiae_NP_014579.1_query.faa,NP_014579.1
AP2sigma_Scerevisiae_NP_012592.1_query.faa,NP_012592.1
AP3beta_Scerevisiae_NP_011777.3_query.faa,NP_011777.3
AP3delta_Scerevisiae_NP_015129.1_query.faa,NP_015129.1
AP3mu_Scerevisiae_NP_009847.4_query.faa,NP_009847.4
AP3sigma_Scerevisiae_NP_012510.3_query.faa,NP_012510.3
AP4beta_Hsapiens_NP_001240781.1_query.faa,NP_001240781.1
AP4beta_hmm.faa,NP_001240781.1
AP4beta_hmm.faa,XP_001745169.1
AP4beta_hmm.faa,XP_004356629.1
AP4beta_hmm.faa,XP_002675915.1
AP4beta_hmm.faa,NP_001190290.1
AP4beta_hmm.faa,XP_639163.1
AP4epsilon_Hsapiens_NP_031373.2_query.faa,NP_031373.2
AP4epsilon_hmm.faa,NP_031373.2
AP4epsilon_hmm.faa,XP_001747321.1
AP4epsilon_hmm.faa,NP_174454.2
AP4epsilon_hmm.faa,XP_004356780.1
AP4epsilon_hmm.faa,XP_002676583.1
AP4epsilon_hmm.faa,XP_641169.1
AP4epsilon_hmm.faa,XP_009494081.1
AP4mu_Hsapiens_NP_001350600.1_query.faa,NP_001350600.1
AP4mu_hmm.faa,NP_001350600.1
AP4mu_hmm.faa,XP_004353234.1
AP4mu_hmm.faa,NP_194186.1
AP4mu_hmm.faa,XP_001745746.1
AP4mu_hmm.faa,XP_002675315.1
AP4sigma_Hsapiens_NP_001241656.1_query.faa,NP_001241656.1
AP4sigma_hmm.faa,NP_001241656.1
AP4sigma_hmm.faa,XP_001748459.1
AP4sigma_hmm.faa,NP_179569.1
AP4sigma_hmm.faa,XP_002683551.1
AP4sigma_hmm.faa,XP_639923.1
AP4sigma_hmm.faa,XP_004338284.1
AP4sigma_hmm.faa,XP_009497344.1
