Filename,Sequence ID
AP1beta_Athaliana_NP_194077.1_query.faa,NP_194077.1
AP2alpha_Athaliana_NP_851058.1_query.faa,NP_851058.1
AP2mu_Athaliana_NP_974895.1_query.faa,NP_974895.1
AP2sigma_Athaliana_NP_175219.1_query.faa,NP_175219.1
Sec12_Athaliana_NP_566961.1_query.faa,NP_566961.1
SNAP33_Athaliana_NP_200929.1_query.faa,NP_200929.1
Rab2_Athaliana_NP_193449.1_query.faa,NP_193449.1
AP1beta_hmm1.faa,NP_194077.1
AP1beta_hmm1.faa,CBI34366.3
AP1beta_hmm1.faa,XP_015631818.1
AP1beta_hmm1.faa,XP_024516549.1
AP1beta_hmm1.faa,OAE33273.1
AP2alpha_hmm1.faa,NP_851058.1
AP2alpha_hmm1.faa,XP_002270388.1
AP2alpha_hmm1.faa,XP_015631820.1
AP2alpha_hmm1.faa,PTQ35247.1
AP2alpha_hmm1.faa,XP_024525508.1
AP2mu_hmm1.faa,NP_974895.1
AP2mu_hmm1.faa,XP_002281297.1
AP2mu_hmm1.faa,XP_015627628.1
AP2mu_hmm1.faa,OAE25965.1
AP2mu_hmm1.faa,XP_002973295.1
AP2sigma_hmm1.faa,NP_175219.1
AP2sigma_hmm1.faa,XP_015618362.1
AP2sigma_hmm1.faa,PTQ50284.1
AP2sigma_hmm1.faa,XP_002275803.1
AP2sigma_hmm1.faa,XP_024518676.1
Sec12_hmm1.faa,NP_566961.1
Sec12_hmm1.faa,XP_002262948.1
Sec12_hmm1.faa,XP_015647566.1
Sec12_hmm1.faa,OAE21792.1
Sec12_hmm1.faa,XP_024530559.1
SNAP33_hmm1.faa,NP_200929.1
SNAP33_hmm1.faa,XP_002284486.1
SNAP33_hmm1.faa,AAW82752.1
SNAP33_hmm1.faa,EFJ31467.1
SNAP33_hmm1.faa,OAE29824.1
SNAP33_hmm1.faa,XP_006270633.1
SNAP33_hmm1.faa,XP_006010378.1
SNAP33_hmm1.faa,XP_006625751.1
SNAP33_hmm1.faa,NP_001080510.1
SNAP33_hmm1.faa,XP_020370357.1
SNAP33_hmm1.faa,XP_015181699.1
SNAP33_hmm1.faa,XP_031769811.1
Rab2_hmm1.faa,NP_193449.1
Rab2_hmm1.faa,XP_003635585.2
Rab2_hmm1.faa,XP_015626284.1
Rab2_hmm1.faa,XP_002965710.1
Rab2_hmm1.faa,PTQ28228.1
